# Every sprite in Celeste's atlases, generated -- see docs/celeste-assets.md.
# The dump mirrors this: celeste_graphics_dump/Graphics/Atlases/<atlas>/<path>.png
# frame is the untrimmed size the game draws; trim is the part actually stored.
atlas	path	frameW	frameH	trimX	trimY	trimW	trimH
Farewell	05	1920	1080	430	0	1058	1030
Farewell	06	1920	1080	430	0	1058	1030
Farewell	07	1920	1080	430	0	1058	1030
Farewell	08	1920	1080	430	0	1058	1030
Farewell	09	1920	1080	41	0	1764	1080
Farewell	10	1920	1080	41	0	1764	1080
Farewell	11	1920	1080	41	0	1764	1080
Farewell	12	1920	1080	430	0	1058	1030
Farewell	13	1920	1080	605	308	726	521
Farewell	14	1920	1080	0	0	1920	1080
Farewell	15	1920	1080	850	295	155	78
Farewell	16	1920	1080	850	295	155	79
Farewell	17	1920	1080	851	295	154	78
Farewell	18	1920	1080	0	0	1920	1080
Farewell	19	1920	1080	1269	363	28	16
Farewell	20	1920	1080	1218	313	38	14
Farewell	21	1920	1080	0	0	1920	1080
Farewell	21-button	1920	1080	1105	558	203	100
Farewell	21-cursor	1920	1080	1367	803	59	76
Farewell	21-picture	1920	1080	440	169	1068	723
Farewell	21-window	1920	1080	520	212	886	600
FileSelect	assist	1200	300	103	172	172	92
FileSelect	card	800	300	9	13	781	275
FileSelect	cardShine000	800	300	9	13	781	275
FileSelect	cardShine001	800	300	9	13	781	275
FileSelect	cardShine002	800	300	9	13	781	275
FileSelect	cardShine003	800	300	9	13	781	275
FileSelect	cardShine004	800	300	9	13	781	275
FileSelect	cardShine005	800	300	9	13	781	275
FileSelect	cassette	64	64	0	8	64	48
FileSelect	cassettes	800	300	623	136	163	149
FileSelect	cheatmode	1200	300	121	93	172	92
FileSelect	dot	64	64	23	23	18	18
FileSelect	farewell	800	300	285	168	116	106
FileSelect	flag	800	300	282	14	161	153
FileSelect	goldberry	800	300	491	32	86	102
FileSelect	goldheart	800	300	571	112	93	106
FileSelect	heart	800	300	632	17	121	108
FileSelect	heartgem0	56	56	0	0	56	56
FileSelect	heartgem1	56	56	0	0	56	56
FileSelect	heartgem2	56	56	0	0	56	56
FileSelect	portraitOverlay	272	272	2	9	264	253
FileSelect	portraitOverlayGold	272	272	2	9	264	253
FileSelect	strawberry	800	300	444	159	147	127
FileSelect	ticket	840	300	49	23	743	253
FileSelect	ticketShine000	840	300	49	23	743	253
FileSelect	ticketShine001	840	300	49	23	743	253
FileSelect	ticketShine002	840	300	49	23	743	253
FileSelect	ticketShine003	840	300	49	23	743	253
FileSelect	ticketShine004	840	300	49	23	743	253
FileSelect	ticketShine005	840	300	49	23	743	253
FileSelect	variants	1200	300	104	172	172	92
ForsakenCity	01	1100	640	0	0	1100	640
ForsakenCity	02	1500	1000	0	357	1500	643
ForsakenCity	03	1500	1000	0	372	1500	628
ForsakenCity	04	1500	1000	597	400	706	470
ForsakenCity	05	1500	1000	679	600	544	234
ForsakenCity	06	1500	1000	0	446	1500	554
ForsakenCity	07	1500	1000	0	268	1500	732
ForsakenCity	08a	1500	1100	0	712	1233	388
ForsakenCity	08b	1500	1100	1231	184	269	916
ForsakenCity	09	3000	2000	1575	1448	1206	482
ForsakenCity	10	3000	2000	1593	1228	683	628
ForsakenCity	11	1500	1000	258	418	677	582
ForsakenCity	snow-back	1500	1000	359	358	1101	642
ForsakenCity	snow-front	1500	1000	358	233	1114	767
Gameplay	animatedTiles/dead/top_a00	8	8	0	6	8	2
Gameplay	animatedTiles/dead/top_a01	8	8	0	6	8	2
Gameplay	animatedTiles/dead/top_a02	8	8	0	6	8	2
Gameplay	animatedTiles/dead/top_a03	8	8	0	6	8	2
Gameplay	animatedTiles/grass/top_a00	8	8	0	3	8	5
Gameplay	animatedTiles/grass/top_a01	8	8	0	3	8	5
Gameplay	animatedTiles/grass/top_a02	8	8	0	3	8	5
Gameplay	animatedTiles/grass/top_a03	8	8	0	3	8	5
Gameplay	bgs/00/bg0	320	180	0	23	320	137
Gameplay	bgs/00/bg1	320	180	0	3	320	143
Gameplay	bgs/00/bg2	320	180	0	45	320	135
Gameplay	bgs/00/bg3	320	180	0	29	320	151
Gameplay	bgs/00/fg0	320	180	0	145	320	35
Gameplay	bgs/01/bg0	320	180	0	13	320	167
Gameplay	bgs/01/bg1	320	180	0	10	320	170
Gameplay	bgs/01/bg2	320	220	0	68	320	152
Gameplay	bgs/02/stars/a00	15	15	0	0	15	15
Gameplay	bgs/02/stars/a01	15	15	2	2	11	11
Gameplay	bgs/02/stars/a02	15	15	4	4	7	7
Gameplay	bgs/02/stars/a03	15	15	7	7	1	1
Gameplay	bgs/02/stars/b00	15	15	7	7	1	1
Gameplay	bgs/02/stars/b01	15	15	7	7	1	1
Gameplay	bgs/02/stars/b02	15	15	7	7	1	1
Gameplay	bgs/02/stars/b03	15	15	7	7	1	1
Gameplay	bgs/02/stars/c00	15	15	5	5	5	5
Gameplay	bgs/02/stars/c01	15	15	5	5	5	5
Gameplay	bgs/02/stars/c02	15	15	6	6	3	3
Gameplay	bgs/02/stars/c03	15	15	7	7	1	1
Gameplay	bgs/03/back	320	100	0	0	320	100
Gameplay	bgs/03/bg0	320	180	0	24	320	156
Gameplay	bgs/03/bg1	320	180	0	52	320	128
Gameplay	bgs/03/bg2	320	180	0	113	320	67
Gameplay	bgs/03/bg2b	320	180	0	113	320	67
Gameplay	bgs/03/bg3	320	180	0	119	320	61
Gameplay	bgs/03/bg3b	320	180	0	119	320	61
Gameplay	bgs/03/fg0	320	180	0	146	320	34
Gameplay	bgs/04/bg0	320	180	0	0	320	180
Gameplay	bgs/04/bg1	320	180	0	78	320	102
Gameplay	bgs/04/bgCloud	320	29	0	0	320	27
Gameplay	bgs/04/bgCloudLoop	320	200	0	0	320	200
Gameplay	bgs/04/bgc0	320	180	21	112	107	39
Gameplay	bgs/04/bgc1	320	180	123	107	69	27
Gameplay	bgs/04/bgc2	320	180	187	48	115	32
Gameplay	bgs/04/bgc3	320	180	32	140	115	32
Gameplay	bgs/04/bgc4	320	180	200	13	107	39
Gameplay	bgs/05/mirror/bg0	320	180	0	0	320	180
Gameplay	bgs/05/mirror/bg1	320	180	0	0	320	180
Gameplay	bgs/05/mirror/bg2	320	180	0	0	320	180
Gameplay	bgs/05/mirror/bg3	320	180	30	53	272	50
Gameplay	bgs/05/mirror/bg4	320	180	14	36	259	80
Gameplay	bgs/05/mirror/bg5	320	180	0	0	320	180
Gameplay	bgs/05/mirror/bg6	320	180	4	5	296	172
Gameplay	bgs/05/mirror/fx0	320	180	21	9	273	158
Gameplay	bgs/05/mirror/fx1	320	180	0	24	320	152
Gameplay	bgs/05/temple/bg0	320	180	0	0	320	180
Gameplay	bgs/05/temple/bg1	320	180	0	13	320	164
Gameplay	bgs/05/temple/bg2	320	180	0	49	320	83
Gameplay	bgs/05/temple/bg3	320	180	0	0	320	180
Gameplay	bgs/06/bg0	320	180	0	0	320	180
Gameplay	bgs/06/bg1	320	180	0	16	320	136
Gameplay	bgs/06/bg2	320	180	0	7	320	164
Gameplay	bgs/06/fx0	320	200	0	0	320	200
Gameplay	bgs/06/plateau/bg0	320	180	0	0	320	180
Gameplay	bgs/06/plateau/bg1	320	180	29	109	142	46
Gameplay	bgs/07/00/bg1	320	180	0	45	320	135
Gameplay	bgs/07/00/bg2	320	180	0	29	320	151
Gameplay	bgs/07/01/bg1	320	180	0	13	320	167
Gameplay	bgs/07/01/bg2	320	180	0	10	320	170
Gameplay	bgs/07/01/bg3	320	180	0	68	320	112
Gameplay	bgs/07/02/bg1	320	180	0	88	320	92
Gameplay	bgs/07/02/bg2	320	180	0	99	320	81
Gameplay	bgs/07/02/bg3	320	180	0	116	320	64
Gameplay	bgs/07/03/bg1	320	180	0	113	320	67
Gameplay	bgs/07/03/bg2	320	180	0	119	320	61
Gameplay	bgs/07/04/bgc0	320	180	21	112	107	39
Gameplay	bgs/07/04/bgc1	320	180	123	107	69	27
Gameplay	bgs/07/04/bgc2	320	180	187	48	115	32
Gameplay	bgs/07/04/bgc3	320	180	32	140	115	32
Gameplay	bgs/07/04/bgc4	320	180	200	13	107	39
Gameplay	bgs/07/07/bg00	320	240	0	0	320	240
Gameplay	bgs/07/07/bg01	320	240	0	58	320	182
Gameplay	bgs/07/07/bg02	320	240	0	106	320	134
Gameplay	bgs/07/07/bg03	320	240	0	154	320	86
Gameplay	bgs/07/07/bg04	320	244	0	195	320	49
Gameplay	bgs/07/bg0	320	180	0	0	320	180
Gameplay	bgs/09/bg0	320	180	0	0	320	180
Gameplay	bgs/09/bg0_c	320	180	0	0	320	180
Gameplay	bgs/09/bg1	320	180	18	0	283	180
Gameplay	bgs/09/bg1_c	320	180	18	0	283	180
Gameplay	bgs/09/bg2	320	180	0	0	320	180
Gameplay	bgs/09/bg2_c	320	180	0	0	320	180
Gameplay	bgs/10/Planets/big00	64	64	5	5	54	54
Gameplay	bgs/10/Planets/big01	64	64	5	5	52	54
Gameplay	bgs/10/Planets/small00	32	32	3	3	26	26
Gameplay	bgs/10/Planets/small01	32	32	10	6	16	22
Gameplay	bgs/10/Planets/small02	32	32	6	5	20	23
Gameplay	bgs/10/Planets/small03	32	32	4	5	16	12
Gameplay	bgs/10/Planets/small04	32	32	12	14	17	17
Gameplay	bgs/10/Planets/small05	32	32	10	4	17	15
Gameplay	bgs/10/Planets/small06	32	32	17	8	7	7
Gameplay	bgs/10/big00	64	64	4	6	58	54
Gameplay	bgs/10/big01	64	64	11	9	43	43
Gameplay	bgs/10/big02	64	64	9	5	51	53
Gameplay	bgs/10/blackhole/particle00	64	64	19	4	21	55
Gameplay	bgs/10/blackhole/particle01	64	64	26	7	11	53
Gameplay	bgs/10/blackhole/particle02	64	64	18	5	24	54
Gameplay	bgs/10/blackhole/particle03	64	64	18	3	23	58
Gameplay	bgs/10/blackhole/particle04	64	64	27	9	9	51
Gameplay	bgs/10/blackhole/particle05	64	64	27	10	9	48
Gameplay	bgs/10/granny/bg	320	180	0	0	320	180
Gameplay	bgs/10/granny/framed_clouds	320	180	0	108	320	72
Gameplay	bgs/10/granny/looping_clouds	320	180	0	154	320	26
Gameplay	bgs/10/rain/bg00	320	244	0	0	320	240
Gameplay	bgs/10/rain/bg01	320	244	0	58	320	182
Gameplay	bgs/10/rain/bg02	320	244	0	106	320	134
Gameplay	bgs/10/rain/bg03	320	244	0	154	320	86
Gameplay	bgs/10/rain/bg04	320	244	0	195	320	49
Gameplay	bgs/10/sky	320	180	0	0	320	180
Gameplay	bgs/10/skybrighter	320	180	0	0	320	180
Gameplay	bgs/10/small00	32	32	2	1	27	28
Gameplay	bgs/10/small01	32	32	2	3	28	26
Gameplay	bgs/10/small02	32	32	3	2	25	27
Gameplay	bgs/10/small03	32	32	7	6	22	18
Gameplay	bgs/10/small04	32	32	0	0	32	32
Gameplay	bgs/10/small05	32	32	0	0	32	32
Gameplay	bgs/10/small06	32	32	0	0	32	32
Gameplay	bgs/disperse_clouds	320	200	0	0	320	200
Gameplay	characters/badeline/angry00	32	32	5	19	15	13
Gameplay	characters/badeline/angry01	32	32	5	19	15	13
Gameplay	characters/badeline/angry02	32	32	5	19	15	13
Gameplay	characters/badeline/angry03	32	32	5	20	15	12
Gameplay	characters/badeline/angry04	32	32	5	20	15	12
Gameplay	characters/badeline/angry05	32	32	5	20	15	12
Gameplay	characters/badeline/boost00	32	32	8	20	13	12
Gameplay	characters/badeline/boost01	32	32	8	20	13	12
Gameplay	characters/badeline/boost02	32	32	8	21	12	11
Gameplay	characters/badeline/boost03	32	32	8	21	12	11
Gameplay	characters/badeline/boost04	32	32	8	23	18	9
Gameplay	characters/badeline/boost05	32	32	8	3	22	24
Gameplay	characters/badeline/boost06	32	32	8	1	22	29
Gameplay	characters/badeline/boost07	32	32	8	1	23	30
Gameplay	characters/badeline/boost08	32	32	8	1	23	31
Gameplay	characters/badeline/boost09	32	32	8	6	22	26
Gameplay	characters/badeline/climb00	32	32	11	20	10	11
Gameplay	characters/badeline/climb01	32	32	11	20	10	10
Gameplay	characters/badeline/climb02	32	32	11	20	10	10
Gameplay	characters/badeline/climb03	32	32	11	20	10	11
Gameplay	characters/badeline/climb04	32	32	10	20	11	11
Gameplay	characters/badeline/climb05	32	32	10	20	11	11
Gameplay	characters/badeline/climb06	32	32	11	20	10	11
Gameplay	characters/badeline/climb07	32	32	10	20	11	11
Gameplay	characters/badeline/climb08	32	32	11	20	10	11
Gameplay	characters/badeline/dangling00	32	32	10	20	12	12
Gameplay	characters/badeline/dangling01	32	32	10	20	12	12
Gameplay	characters/badeline/dangling02	32	32	11	20	11	12
Gameplay	characters/badeline/dangling03	32	32	11	20	11	12
Gameplay	characters/badeline/dangling04	32	32	10	20	12	12
Gameplay	characters/badeline/dangling05	32	32	11	20	11	12
Gameplay	characters/badeline/dangling06	32	32	10	20	12	12
Gameplay	characters/badeline/dangling07	32	32	10	20	12	12
Gameplay	characters/badeline/dangling08	32	32	10	20	12	12
Gameplay	characters/badeline/dangling09	32	32	10	20	12	12
Gameplay	characters/badeline/dash00	32	32	8	21	15	11
Gameplay	characters/badeline/dash01	32	32	8	21	14	11
Gameplay	characters/badeline/dash02	32	32	8	21	14	11
Gameplay	characters/badeline/dash03	32	32	8	22	14	10
Gameplay	characters/badeline/dreamDash00	32	32	8	21	15	11
Gameplay	characters/badeline/dreamDash01	32	32	8	21	14	11
Gameplay	characters/badeline/dreamDash02	32	32	4	18	25	13
Gameplay	characters/badeline/dreamDash03	32	32	7	10	19	20
Gameplay	characters/badeline/dreamDash04	32	32	7	18	18	14
Gameplay	characters/badeline/dreamDash05	32	32	7	19	18	13
Gameplay	characters/badeline/dreamDash06	32	32	7	17	18	15
Gameplay	characters/badeline/dreamDash07	32	32	9	18	14	14
Gameplay	characters/badeline/dreamDash08	32	32	8	25	16	5
Gameplay	characters/badeline/dreamDash09	32	32	6	21	20	10
Gameplay	characters/badeline/dreamDash10	32	32	8	16	17	15
Gameplay	characters/badeline/dreamDash11	32	32	11	18	10	11
Gameplay	characters/badeline/dreamDash12	32	32	12	20	11	11
Gameplay	characters/badeline/dreamDash13	32	32	7	20	11	11
Gameplay	characters/badeline/dreamDash14	32	32	7	17	18	13
Gameplay	characters/badeline/dreamDash15	32	32	10	21	12	11
Gameplay	characters/badeline/dreamDash16	32	32	10	18	12	13
Gameplay	characters/badeline/dreamDash17	32	32	6	18	19	14
Gameplay	characters/badeline/dreamDash18	32	32	6	18	20	14
Gameplay	characters/badeline/dreamDash19	32	32	5	19	21	13
Gameplay	characters/badeline/dreamDash20	32	32	5	20	21	12
Gameplay	characters/badeline/duck	32	32	8	24	13	8
Gameplay	characters/badeline/edge00	32	32	7	20	14	12
Gameplay	characters/badeline/edge01	32	32	7	20	14	12
Gameplay	characters/badeline/edge02	32	32	7	20	14	12
Gameplay	characters/badeline/edge03	32	32	7	21	14	11
Gameplay	characters/badeline/edge04	32	32	7	21	14	11
Gameplay	characters/badeline/edge05	32	32	7	21	14	11
Gameplay	characters/badeline/edge06	32	32	7	20	14	12
Gameplay	characters/badeline/edge07	32	32	7	20	15	12
Gameplay	characters/badeline/edge08	32	32	7	20	15	12
Gameplay	characters/badeline/edge09	32	32	7	20	14	12
Gameplay	characters/badeline/edge10	32	32	7	21	15	11
Gameplay	characters/badeline/edge11	32	32	7	21	14	11
Gameplay	characters/badeline/edge12	32	32	7	21	14	11
Gameplay	characters/badeline/edge13	32	32	7	20	14	12
Gameplay	characters/badeline/edge_back00	32	32	11	20	12	12
Gameplay	characters/badeline/edge_back01	32	32	11	20	12	12
Gameplay	characters/badeline/edge_back02	32	32	11	20	12	12
Gameplay	characters/badeline/edge_back03	32	32	11	21	12	11
Gameplay	characters/badeline/edge_back04	32	32	9	20	13	12
Gameplay	characters/badeline/edge_back05	32	32	10	20	12	12
Gameplay	characters/badeline/edge_back06	32	32	11	20	12	12
Gameplay	characters/badeline/edge_back07	32	32	11	20	12	12
Gameplay	characters/badeline/edge_back08	32	32	12	20	11	12
Gameplay	characters/badeline/edge_back09	32	32	12	20	11	12
Gameplay	characters/badeline/edge_back10	32	32	13	21	12	11
Gameplay	characters/badeline/edge_back11	32	32	12	21	12	11
Gameplay	characters/badeline/edge_back12	32	32	12	21	12	11
Gameplay	characters/badeline/edge_back13	32	32	12	20	12	12
Gameplay	characters/badeline/faint00	32	32	8	23	13	9
Gameplay	characters/badeline/faint01	32	32	8	23	13	9
Gameplay	characters/badeline/faint02	32	32	8	23	13	9
Gameplay	characters/badeline/faint03	32	32	8	23	13	9
Gameplay	characters/badeline/faint04	32	32	9	23	13	9
Gameplay	characters/badeline/faint05	32	32	9	23	13	9
Gameplay	characters/badeline/faint06	32	32	9	24	13	8
Gameplay	characters/badeline/faint07	32	32	9	25	14	7
Gameplay	characters/badeline/faint08	32	32	10	24	15	8
Gameplay	characters/badeline/faint09	32	32	9	27	16	5
Gameplay	characters/badeline/faint10	32	32	9	26	16	6
Gameplay	characters/badeline/flip00	32	32	11	21	14	11
Gameplay	characters/badeline/flip01	32	32	11	21	14	11
Gameplay	characters/badeline/flip02	32	32	11	21	13	11
Gameplay	characters/badeline/flip03	32	32	11	21	12	11
Gameplay	characters/badeline/flip04	32	32	11	21	12	11
Gameplay	characters/badeline/flip05	32	32	11	22	12	10
Gameplay	characters/badeline/flip06	32	32	11	22	12	10
Gameplay	characters/badeline/flip07	32	32	8	22	14	10
Gameplay	characters/badeline/flip08	32	32	12	22	11	10
Gameplay	characters/badeline/frontedge00	12	16	1	4	10	12
Gameplay	characters/badeline/frontedge01	12	16	2	4	9	12
Gameplay	characters/badeline/frontedge02	12	16	0	4	10	12
Gameplay	characters/badeline/frontedge03	12	16	1	5	10	11
Gameplay	characters/badeline/frontedge04	12	16	1	6	10	10
Gameplay	characters/badeline/frontedge05	12	16	1	5	11	11
Gameplay	characters/badeline/frontedge06	12	16	1	6	10	10
Gameplay	characters/badeline/frontedge07	12	16	1	5	10	11
Gameplay	characters/badeline/frontedge08	12	16	0	4	10	12
Gameplay	characters/badeline/hug00	32	32	8	23	15	9
Gameplay	characters/badeline/idle00	32	32	8	20	13	12
Gameplay	characters/badeline/idle01	32	32	8	20	13	12
Gameplay	characters/badeline/idle02	32	32	8	20	13	12
Gameplay	characters/badeline/idle03	32	32	8	20	13	12
Gameplay	characters/badeline/idle04	32	32	8	21	13	11
Gameplay	characters/badeline/idle05	32	32	8	21	13	11
Gameplay	characters/badeline/idle06	32	32	8	21	13	11
Gameplay	characters/badeline/idle07	32	32	8	21	13	11
Gameplay	characters/badeline/idle08	32	32	8	21	13	11
Gameplay	characters/badeline/jumpFast00	32	32	8	19	14	13
Gameplay	characters/badeline/jumpFast01	32	32	8	19	14	13
Gameplay	characters/badeline/jumpFast02	32	32	9	20	13	12
Gameplay	characters/badeline/jumpFast03	32	32	8	20	14	12
Gameplay	characters/badeline/jumpSlow00	32	32	8	19	14	13
Gameplay	characters/badeline/jumpSlow01	32	32	8	19	14	13
Gameplay	characters/badeline/jumpSlow02	32	32	9	20	13	12
Gameplay	characters/badeline/jumpSlow03	32	32	8	20	13	12
Gameplay	characters/badeline/laugh00	32	32	8	19	14	13
Gameplay	characters/badeline/laugh01	32	32	8	19	14	13
Gameplay	characters/badeline/laugh02	32	32	8	19	14	13
Gameplay	characters/badeline/laugh03	32	32	8	20	14	12
Gameplay	characters/badeline/laugh04	32	32	8	20	14	12
Gameplay	characters/badeline/laugh05	32	32	8	20	14	12
Gameplay	characters/badeline/lookUp00	32	32	8	20	13	12
Gameplay	characters/badeline/lookUp01	32	32	8	21	13	11
Gameplay	characters/badeline/lookUp02	32	32	8	20	13	12
Gameplay	characters/badeline/lookUp03	32	32	8	20	13	12
Gameplay	characters/badeline/lookUp04	32	32	8	20	13	12
Gameplay	characters/badeline/lookUp05	32	32	8	20	13	12
Gameplay	characters/badeline/lookUp06	32	32	8	19	13	13
Gameplay	characters/badeline/lookUp07	32	32	8	19	13	13
Gameplay	characters/badeline/orb	16	16	2	2	12	12
Gameplay	characters/badeline/push00	32	32	7	20	14	12
Gameplay	characters/badeline/push01	32	32	7	21	14	11
Gameplay	characters/badeline/push02	32	32	7	21	14	11
Gameplay	characters/badeline/push03	32	32	7	21	14	11
Gameplay	characters/badeline/push04	32	32	7	20	14	12
Gameplay	characters/badeline/push05	32	32	7	20	14	12
Gameplay	characters/badeline/push06	32	32	7	20	14	12
Gameplay	characters/badeline/push07	32	32	7	20	14	12
Gameplay	characters/badeline/push08	32	32	7	21	14	11
Gameplay	characters/badeline/push09	32	32	7	21	14	11
Gameplay	characters/badeline/push10	32	32	7	21	14	11
Gameplay	characters/badeline/push11	32	32	7	21	14	11
Gameplay	characters/badeline/push12	32	32	7	20	14	12
Gameplay	characters/badeline/push13	32	32	7	20	14	12
Gameplay	characters/badeline/push14	32	32	7	20	14	12
Gameplay	characters/badeline/push15	32	32	7	20	14	12
Gameplay	characters/badeline/runFast00	32	32	7	20	14	12
Gameplay	characters/badeline/runFast01	32	32	7	21	14	11
Gameplay	characters/badeline/runFast02	32	32	7	21	14	11
Gameplay	characters/badeline/runFast03	32	32	7	21	14	11
Gameplay	characters/badeline/runFast04	32	32	7	19	14	13
Gameplay	characters/badeline/runFast05	32	32	7	20	14	12
Gameplay	characters/badeline/runFast06	32	32	7	21	14	11
Gameplay	characters/badeline/runFast07	32	32	7	21	14	11
Gameplay	characters/badeline/runFast08	32	32	7	21	14	11
Gameplay	characters/badeline/runFast09	32	32	7	21	14	11
Gameplay	characters/badeline/runFast10	32	32	7	19	16	13
Gameplay	characters/badeline/runFast11	32	32	7	20	16	12
Gameplay	characters/badeline/runSlow00	32	32	7	20	14	12
Gameplay	characters/badeline/runSlow01	32	32	7	21	14	11
Gameplay	characters/badeline/runSlow02	32	32	7	21	14	11
Gameplay	characters/badeline/runSlow03	32	32	7	21	14	11
Gameplay	characters/badeline/runSlow04	32	32	7	19	14	13
Gameplay	characters/badeline/runSlow05	32	32	7	20	14	12
Gameplay	characters/badeline/runSlow06	32	32	7	21	14	11
Gameplay	characters/badeline/runSlow07	32	32	7	21	14	11
Gameplay	characters/badeline/runSlow08	32	32	7	21	14	11
Gameplay	characters/badeline/runSlow09	32	32	7	21	14	11
